UnitID,in-state-tuitition-2018
189848,33656
439367,
162104,6825
211468,38092
223773,3330
201654,29156
158477,35900
183974,32580
379782,
232618,10528
100760,4440
104346,2580
106713,15750
198251,2544
218858,5807
154855,17240
176910,13900
378105,
153108,35930
180902,3000
128771,10225
483045,2774
173203,5494
158088,4089
161077,3660
445267,5760
176947,23770
169248,12510
187532,1578
201672,4296
208318,4959
211477,18174
198260,2792
201690,6246
223816,3390
231697,4726
234827,7903
240514,3024
488004,11000
189857,7700
234845,4343
156408,40500
420024,16637
444972,15887
377449,15887
377458,16337
427982,16337
232016,15887
175315,5417
111887,1346
111896,1290
111920,1138
180948,7122
111939,1170
454245,19375
489353,19375
457129,19375
475732,19375
454227,19375
475741,19375
486947,19375
466921,19375
486938,19375
486956,19375
489344,19375
454236,19375
466930,19375
460871,19375
141486,24514
230852,39818
364025,2094
111948,50594
111966,13972
217688,24840
444778,10070
102845,21908
128780,7983
201751,11540
211556,36510
140331,2782
101028,4314
220118,10690
219824,4063
208390,4500
162168,5480
437769,
211583,35180
211608,12104
144005,10252
180160,2260
133021,3120
240116,4304
198303,24480
219833,31870
260947,3900
231712,13654
201858,17028
201928,3825
223898,4710
217864,12056
112172,1183
112190,1598
417327,13695
244233,13695
406547,13695
475477,13695
434539,13695
144209,8126
144184,8126
144157,8126
144166,8126
144175,8126
144193,8126
144218,8126
234915,16920
457697,5600
208406,4614
217873,16480
112260,52825
223922,2976
211644,10890
138947,21892
234933,3613
201973,3359
165334,44400
153126,31950
211024,23890
180832,16290
190044,47950
208415,4014
139311,5419
156417,9020
169327,19700
217882,15116
198321,2526
202046,40655
202073,49146
219879,4139
202134,9778
177038,14800
217891,7949
190053,5782
154907,3180
234951,5740
489201,1304
187639,1536
175519,2803
101161,4380
223320,2646
198330,2462
218724,11200
485458,2714
112385,1148
104425,1968
404426,3150
153144,42430
154925,2304
112394,19648
217907,28684
161086,53120
154934,3600
182634,41186
112446,20725
190099,53980
169442,42460
108667,1230
388520,6946
456977,13052
449083,13052
449092,13052
417318,13052
482024,13052
132851,2570
217819,12422
139250,4496
150251,14450
144865,9660
142179,2494
146472,8960
118347,1490
413617,6200
193399,37100
167394,34578
174747,43738
186618,33131
181604,19950
122791,1400
142559,4120
162122,6406
182005,3285
231077,24000
190558,7090
197814,2223
160959,43542
111461,1154
113573,1335
166124,50630
226408,2973
480967,6600
107521,3680
178697,19130
121707,1182
123217,1390
123484,1154
455114,4336
231624,22044
448752,16968
126872,16968
103945,16968
448761,16968
474890,16968
247834,2644
461953,11435
126669,30370
126678,52818
127556,8374
126711,3808
126748,3943
381732,10760
126775,18386
126784,
126818,11395
128106,10090
126827,11689
234979,4554
479248,
455983,
112561,1162
177065,21936
217934,19500
144281,26474
112570,24495
420556,4248
217925,22390
450933,5415
219888,4155
190150,57208
190169,4888
202170,34440
202222,3808
139366,6134
139357,2704
366261,12495
212975,16836
439570,
446163,5700
210605,7653
126863,3702
434672,7038
211079,11310
126942,3909
215239,10284
217475,4564
230861,6414
459417,15300
177083,21526
237330,7732
126687,
460181,
123679,
441742,
155283,
219903,
124937,
208479,
460206,
124706,
120661,
487588,
133845,
133854,
460190,
133863,
101073,10320
173300,38378
190248,31600
169363,28420
144351,31588
112075,34100
180984,31000
208488,30270
173328,21750
224004,30600
238616,28600
128902,52850
206996,3512
211820,
112826,1312
217961,17680
190372,45100
175573,3180
395362,1112
162283,7474
210331,31640
153162,40880
190415,52853
170037,27520
190442,5076
235024,40464
106795,3600
113096,1104
177117,20200
184180,8580
139393,33170
154952,3255
176770,11410
144485,
113111,1143
198367,2053
181002,38750
475608,9858
439613,12400
177135,3840
106810,12250
174862,25430
113193,1338
444565,15938
190503,31616
177144,26040
184205,4740
219949,21810
190512,7062
190521,5170
190530,5206
190549,7040
190567,6940
190585,5208
190594,6982
190600,7070
190619,5252
190628,5218
190637,7010
190646,6952
190655,6920
190664,7138
190673,5210
190691,6958
165529,38936
211893,2675
202356,3953
113218,1386
113236,1140
190716,25870
231873,4613
190725,27990
200314,4419
173416,5713
219082,9147
219091,27030
224226,27480
224244,18734
224271,11870
437732,
139463,4212
144564,7775
231882,4598
182670,53368
169479,17558
198385,49949
198376,2588
237358,28992
202435,14130
194569,16800
180151,5250
447476,15000
363439,15000
368443,15000
205559,15000
444255,15000
220002,15000
157465,15000
447014,
133386,3109
113333,1552
165574,38090
211909,14550
202514,32190
224350,3976
432524,25710
211927,9075
130934,7868
130907,4848
211981,38000
158662,4079
113537,13350
169521,6080
366270,
158723,9685
175616,6859
202523,50440
217989,5700
144740,39010
150400,47838
153214,4530
210739,35900
113582,22510
482413,18020
482422,17188
482431,17700
482440,17380
482459,17732
482468,17636
482477,17316
482486,18148
482538,17252
482547,17572
482556,17348
482565,18052
482574,17476
482583,17732
482608,17572
482617,17828
482635,17540
482653,17572
113634,1312
212009,52955
200059,6554
443410,29000
158802,17917
105297,1410
153241,12850
230171,5080
181020,32250
448284,10780
154998,3270
190761,28448
148496,32530
113698,44690
155007,7140
153250,30000
212045,16029
153269,39062
184348,49468
212054,52002
177214,27015
198419,53500
173489,18975
175227,21610
212106,36394
198455,1958
190840,4236
220057,4331
447421,13991
230366,14297
451006,
150455,45750
106883,3150
198464,7143
177250,3480
175643,2790
207041,6600
139621,3110
113856,1220
175652,3240
413802,
212115,10098
220075,8679
224527,25470
439394,10675
144883,21450
104577,2550
129215,10919
132693,2496
203331,3645
144892,11678
448354,21225
421878,21225
153311,4960
156620,9366
161138,3747
232043,35800
169798,12019
165644,31780
187648,6013
187666,2424
383996,1540
207050,4572
208646,8362
232052,4688
212133,32145
441858,
235097,7109
438708,3552
240596,2928
224572,3330
183488,14832
185721,15305
184959,16252
446233,15140
133492,43044
460215,
248934,15051
198491,2522
238661,28500
212160,10282
202648,4219
235103,3822
133526,13525
112686,1142
113980,1142
224615,3330
224642,2746
144944,10452
488305,7942
198507,4986
212197,45350
156648,4080
153296,4656
144962,36370
190974,21700
190983,41900
198516,34273
490346,13220
133553,34822
104586,34662
426314,9000
165662,44832
165671,38844
139630,19710
153302,17520
232025,33700
139658,49392
487092,48502
114123,
155025,6345
165699,32154
101143,4440
124487,9689
191083,5575
212434,13770
217998,34560
184481,8790
384333,2094
200590,10272
144971,25390
177339,22745
235149,3715
385619,17000
114266,1356
129242,47165
184694,41780
184603,39446
237367,6950
153320,16766
443049,7236
212452,5870
443058,6570
196042,8076
191126,5483
101189,20970
198543,5183
198534,2528
114433,1461
487861,
184612,33650
169910,11628
232089,33025
114354,32293
114415,32293
248846,32293
114390,32293
